name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
HD 13931 b,155,2.2 Jupiters,7.597,2009
HD 139357 b,367,9.76 Jupiters,5.964,2008
HD 1397 b,260,0.415 Jupiters,7.781,2018
HD 14067 b,465,7.8 Jupiters,6.53,2014
HD 141399 b,118,0.451 Jupiters,7.2,2014
HD 141399 c,118,1.33 Jupiters,7.2,2014
HD 141399 d,118,1.18 Jupiters,7.2,2014
HD 141399 e,118,0.66 Jupiters,7.2,2014
HD 141937 b,109,9.69 Jupiters,7.25,2002
HD 142022 A b,112,4.44 Jupiters,7.7,2005
HD 142245 b,318,3.07 Jupiters,7.63,2011
HD 142415 b,116,1.67 Jupiters,7.327,2003
HD 142 b,85,1.25 Jupiters,5.7,2001
HD 142 c,85,5.3 Jupiters,5.7,2012
HD 143105 b,159,1.21 Jupiters,6.75,2016
HD 143361 b,224,3.532 Jupiters,9.2,2008
HD 145377 b,175,6.02 Jupiters,8.095,2008
HD 145457 b,443,2.23 Jupiters,6.566,2010
HD 145934 b,748,2.28 Jupiters,8.5,2015
HD 1461 b,77,6.44 Earths,6.47,2010
HD 1461 c,77,5.59 Earths,6.47,2015
HD 147018 b,140,2.12 Jupiters,8.3,2009
HD 147018 c,140,6.56 Jupiters,8.3,2009
HD 147379 b,35,28.55 Earths,8.896,2017
HD 147513 b,42,1.21 Jupiters,5.39,2003
HD 147873 b,357,5.14 Jupiters,7.96,2016
HD 147873 c,357,2.3 Jupiters,7.96,2016
HD 14787 b,390,1.121 Jupiters,7.63,2018
HD 148156 b,187,0.85 Jupiters,7.689,2009
HD 148164 b,252,1.23 Jupiters,8.23,2018
HD 148164 c,252,5.16 Jupiters,8.23,2018
HD 148284 b,397,33.7 Jupiters,9.01,2018
HD 148427 b,233,1.3 Jupiters,6.895,2009
HD 149026 b,248,0.38 Jupiters,8.15,2005
HD 149143 b,240,1.33 Jupiters,7.89,2005
HD 1502 b,626,2.75 Jupiters,8.36,2011
HD 150706 b,92,2.71 Jupiters,7.02,2012
HD 152079 b,287,2.661 Jupiters,9.182,2009
HD 152581 b,543,1.869 Jupiters,8.38,2011
HD 15337 b,146,7.51 Earths,9.088,2019
HD 15337 c,146,8.11 Earths,9.088,2019
HD 153950 b,158,2.95 Jupiters,7.39,2008
HD 154345 b,60,0.82 Jupiters,6.76,2006
HD 154672 b,206,5.37 Jupiters,8.21,2008
HD 154857 b,207,2.45 Jupiters,7.238,2004
HD 154857 c,207,2.58 Jupiters,7.238,2014
HD 155233 b,245,2.6 Jupiters,6.818,2015
HD 155358 b,142,0.99 Jupiters,7.27,2007
HD 155358 c,142,0.82 Jupiters,7.27,2007
HD 156279 b,118,9.88 Jupiters,8.1,2011
HD 156279 c,118,8.6 Jupiters,8.1,2018
HD 156411 b,186,0.74 Jupiters,6.673,2009
HD 156668 b,79,4.15 Earths,8.42,2010
HD 156846 b,156,10.67 Jupiters,6.506,2007
HD 158038 b,310,1.53 Jupiters,7.64,2011
HD 158259 b,88,2.22 Earths,6.46,2020
HD 158259 c,88,5.6 Earths,6.46,2020
HD 158259 d,88,5.41 Earths,6.46,2020
HD 158259 e,88,6.08 Earths,6.46,2020
HD 158259 f,88,6.14 Earths,6.46,2020
HD 158996 b,933,14 Jupiters,5.706,2018
HD 159243 b,240,1.13 Jupiters,8.646,2013
HD 159243 c,240,1.9 Jupiters,8.646,2013
HD 159868 b,182,2.218 Jupiters,7.24,2006
HD 159868 c,182,0.768 Jupiters,7.24,2012
HD 1605 b,290,0.934 Jupiters,7.52,2015
HD 1605 c,290,3.62 Jupiters,7.52,2015
HD 160691 b,51,1.676 Jupiters,5.15,2000
HD 160691 c,51,1.814 Jupiters,5.15,2004
HD 160691 d,51,10.5547 Earths,5.15,2004
HD 160691 e,51,0.5219 Jupiters,5.15,2006
HD 16141 b,123,0.26 Jupiters,6.83,2000
HD 16175 b,196,5.1 Jupiters,7.282,2009
HD 162020 b,101,9.84 Jupiters,9.1,2002
HD 163607 b,222,0.7836 Jupiters,8,2010
HD 163607 c,222,2.201 Jupiters,8,2010
HD 16417 b,83,22.1 Earths,5.78,2008
HD 164509 b,174,0.443 Jupiters,8.1,2010
HD 164595 b,92,16.14 Earths,7.1,2015
HD 164604 b,129,1.99792 Jupiters,9.7,2009
HD 164922 b,72,0.36497 Jupiters,6.99,2005
HD 164922 c,72,13 Earths,6.99,2016
HD 164922 d,72,4 Earths,6.99,2020
HD 165155 b,207,2.89 Jupiters,9.36,2016
HD 1666 b,386,6.43 Jupiters,8.17,2015
HD 166724 b,147,3.53 Jupiters,9.344,2012
HD 167042 b,162,1.7 Jupiters,5.94,2007
HD 168443 b,129,7.659 Jupiters,6.917,1998
HD 168443 c,129,17.193 Jupiters,6.917,2000
HD 168746 b,136,0.27 Jupiters,7.946,2002
HD 1690 b,2510,8.79 Jupiters,9.17,2010
HD 169830 b,123,2.88 Jupiters,5.902,2000
HD 169830 c,123,4.04 Jupiters,5.902,2003
HD 170469 b,197,0.66 Jupiters,8.21,2007
HD 17092 b,750,10.13 Jupiters,7.732,2007
HD 171028 b,365,2.62 Jupiters,8.31,2007
HD 171238 b,146,2.72 Jupiters,8.61,2009
HD 17156 b,255,3.51 Jupiters,8.172,2007
HD 173416 b,433,2.7 Jupiters,6.057,2008
HD 175167 b,232,8.97 Jupiters,8.01,2009
HD 175541 b,424,0.598 Jupiters,8.02,2007
HD 175607 b,132,8.98 Earths,8.61,2015
HD 17674 b,145,0.87 Jupiters,7.56,2017
HD 176986 b,91,5.74 Earths,8.42,2017
HD 176986 c,91,9.18 Earths,8.42,2017
HD 177565 b,55,15.1 Earths,6.16,2017
HD 177830 b,205,1.69 Jupiters,7.177,1999
HD 177830 c,205,0.15 Jupiters,7.177,2010
HD 178911 B b,134,8.03 Jupiters,7.792,2001
HD 179079 b,228,25.74423 Earths,7.95,2008
HD 179949 b,90,0.916 Jupiters,6.25,2000
HD 180053 b,449,2.194 Jupiters,7.93,2018
HD 18015 b,405,3.18 Jupiters,7.89,2018
HD 180314 b,401,20.13 Jupiters,6.608,2010
HD 180617 b,19,12.2 Earths,9.12,2018
HD 180902 b,342,1.685 Jupiters,7.78,2009
HD 181234 b,156,8.37 Jupiters,8.59,2019
HD 181342 b,394,2.54 Jupiters,7.55,2009
HD 181433 b,88,6.3566 Earths,8.4,2008
HD 181433 c,88,0.64 Jupiters,8.4,2008
HD 181433 d,88,0.54 Jupiters,8.4,2008
HD 181720 b,197,0.4 Jupiters,7.849,2009
HD 183263 b,177,3.95 Jupiters,7.861,2004
HD 183263 c,177,3.57 Jupiters,7.861,2008
HD 185269 b,170,1.01 Jupiters,6.67,2006
HD 187085 b,150,0.836 Jupiters,7.225,2006
HD 187123 b,150,0.523 Jupiters,7.832,1998
HD 187123 c,150,1.99 Jupiters,7.832,2008
HD 18742 b,533,3.4 Jupiters,7.81,2011
HD 188015 b,166,1.5 Jupiters,8.234,2004
HD 189733 b,65,1.13 Jupiters,7.67,2005
HD 190360 b,52,1.54 Jupiters,5.73,2003
HD 190360 c,52,19.069 Earths,5.73,2005
HD 190647 b,178,1.985 Jupiters,7.779,2007
HD 190984 b,485,3.1 Jupiters,8.76,2009
HD 191806 b,215,8.52 Jupiters,8.084,2016
HD 191939 b,174,11.6 Earths,8.963,2020
HD 191939 c,174,10.5 Earths,8.963,2020
HD 191939 d,174,10.1 Earths,8.963,2020
HD 192263 b,64,0.56 Jupiters,7.79,1999
HD 192310 b,29,16.9 Earths,5.73,2011
HD 192310 c,29,24 Earths,5.73,2011
HD 192699 b,235,2.096 Jupiters,6.44,2007
HD 195019 b,123,3.98 Jupiters,6.87,1998
HD 196050 b,166,3.18 Jupiters,7.5,2002
HD 196067 b,130,6.9 Jupiters,6.03,2012
HD 196885 A b,112,2.58 Jupiters,6.398,2007
HD 197037 b,108,0.79 Jupiters,6.809,2012
HD 19994 b,74,1.37 Jupiters,5.06,2003
HD 20003 b,143,11.66 Earths,8.39,2019
HD 20003 c,143,14.44 Earths,8.39,2019
HD 200964 b,237,1.599 Jupiters,6.48,2010
HD 200964 c,237,1.214 Jupiters,6.48,2010
HD 202206 c,150,17.9 Jupiters,8.08,2004
HD 202696 b,618,1.996 Jupiters,8.23,2019
HD 202696 c,618,1.864 Jupiters,8.23,2019
HD 202772 A b,480,1.017 Jupiters,8.227,2019
HD 203030 b,128,24.09 Jupiters,8.425,2006
HD 203473 b,237,7.8 Jupiters,8.23,2018
HD 2039 b,280,6.29 Jupiters,9,2002
HD 204313 b,156,3.46 Jupiters,7.99,2010
HD 204313 c,156,17.6 Earths,7.99,2015
HD 204941 b,94,0.23 Jupiters,8.45,2011
HD 205739 b,303,1.37 Jupiters,8.56,2008
HD 206255 b,246,34.2 Earths,7.618,2019
HD 206610 b,482,2.036 Jupiters,8.34,2009
HD 20781 b,115,1.93 Earths,8.48,2019
HD 20781 c,115,5.33 Earths,8.48,2019
HD 20781 d,115,10.61 Earths,8.48,2019
HD 20781 e,115,14.03 Earths,8.48,2019
HD 20782 b,117,1.4878 Jupiters,7.4,2006
HD 207832 b,193,0.56 Jupiters,8.78,2012
HD 207832 c,193,0.73 Jupiters,8.78,2012
HD 20794 b,20,2.7 Earths,4.27,2011
HD 20794 c,20,2.4 Earths,4.27,2011
HD 20794 d,20,4.8 Earths,4.27,2011
HD 20794 e,20,4.77 Earths,4.27,2017
HD 208487 b,144,0.52 Jupiters,7.471,2004
HD 208527 b,1026,9.9 Jupiters,6.4,2012
HD 20868 b,156,1.25 Jupiters,9.92,2008
HD 208897 b,211,1.4 Jupiters,6.51,2017
HD 209458 b,158,0.73 Jupiters,7.632,1999
HD 210193 b,138,0.4817 Jupiters,7.823,2019
HD 210277 b,70,1.29 Jupiters,6.53,1998
HD 210702 b,177,1.808 Jupiters,5.93,2007
HD 211810 b,211,0.67 Jupiters,8.59,2018
HD 211970 b,42,13 Earths,8.99,2019
HD 212301 b,177,0.51 Jupiters,7.764,2005
HD 212771 b,364,2.39 Jupiters,7.6,2009
HD 213240 b,133,5.58 Jupiters,6.814,2001
HD 213885 b,156,8.83 Earths,7.996,2019
HD 213885 c,156,19.95 Earths,7.996,2019
HD 21411 b,95,0.20734 Jupiters,7.885,2019
HD 214823 b,332,20.3 Jupiters,8.06,2016
HD 215152 b,70,1.819 Earths,8.11,2018
HD 215152 c,70,1.72 Earths,8.11,2018
HD 215152 d,70,2.801 Earths,8.11,2018
HD 215152 e,70,2.877 Earths,8.11,2018
HD 215497 b,132,6.3566 Earths,8.96,2009
HD 215497 c,132,0.33 Jupiters,8.96,2009
HD 216435 b,108,1.26 Jupiters,6.03,2002
HD 216437 b,87,2.223 Jupiters,6.057,2002
HD 216536 b,1241,1.05 Jupiters,9.23,2015
HD 216770 b,120,0.57 Jupiters,8.094,2003
HD 21693 b,106,8.23 Earths,7.95,2019
HD 21693 c,106,17.37 Earths,7.95,2019
HD 217107 b,65,1.3 Jupiters,6.16,1998
HD 217107 c,65,2.6 Jupiters,6.16,2005
HD 21749 c,53,3.7 Earths,7.87,2019
HD 217786 b,179,13 Jupiters,7.8,2011
HD 217850 b,215,21.6 Jupiters,8.52,2018
HD 218566 b,94,0.2 Jupiters,8.628,2010
HD 219077 b,95,10.39 Jupiters,6.12,2012
HD 219134 b,21,4.74 Earths,5.57,2015
HD 219134 c,21,4.36 Earths,5.57,2015
HD 219134 d,21,16.17 Earths,5.57,2015
HD 219134 f,21,7.3 Earths,5.57,2015
HD 219134 g,21,10.80622 Earths,5.57,2015
HD 219134 h,21,0.34 Jupiters,5.57,2015
HD 219415 b,541,1 Jupiter,8.94,2012
HD 219666 b,308,16.6 Earths,9.65,2018
HD 219828 b,239,20.97678 Earths,8.04,2007
HD 219828 c,239,14.6 Jupiters,8.04,2016
HD 220074 b,1068,16.64 Jupiters,6.4,2012
HD 220197 b,210,0.2 Jupiters,9,2018
HD 220689 b,153,1.118 Jupiters,7.795,2012
HD 220773 b,160,1.45 Jupiters,7.093,2011
HD 220842 b,204,3.18 Jupiters,7.99,2016
HD 221287 b,183,3.09 Jupiters,7.807,2007
HD 221416 b,310,0.19 Jupiters,8.146,2019
HD 221420 b,102,9.7 Jupiters,5.81,2019
HD 221585 b,182,1.61 Jupiters,7.465,2016
HD 222076 b,298,1.56 Jupiters,7.459,2016
HD 222155 b,165,2.12 Jupiters,7.114,2011
HD 222582 b,138,8.37 Jupiters,7.68,1999
HD 224538 b,258,5.97 Jupiters,8.06,2016
HD 224693 b,306,0.7 Jupiters,8.23,2006
HD 22781 b,106,13.65 Jupiters,8.766,2011
HD 23079 b,109,2.61 Jupiters,7.12,2001
HD 23127 b,307,1.527 Jupiters,8.576,2006
HD 231701 b,356,1.13 Jupiters,8.97,2007
HD 233604 b,2833,6.575 Jupiters,10.406,2013
HD 233832 b,192,1.78 Jupiters,10.146,2018
HD 23472 b,127,17.92 Earths,9.724,2019
HD 23472 c,127,17.18 Earths,9.724,2019
HD 23596 b,170,9.03 Jupiters,7.244,2003
HD 238914 b,1720,6 Jupiters,8.79,2018
HD 240210 b,466,5.21 Jupiters,8.33,2009
HD 240237 b,3126,15.89 Jupiters,8.19,2011
HD 24040 b,152,3.86 Jupiters,7.493,2006
HD 24064 b,988,12.89 Jupiters,6.75,2015
HD 24085 b,179,11.8 Earths,7.564,2019
HD 25015 b,122,4.48 Jupiters,8.87,2019
HD 25171 b,182,0.915 Jupiters,7.782,2010
HD 2638 b,180,0.42 Jupiters,9.375,2005
HD 2685 b,646,1.17 Jupiters,9.52,2019
HD 26965 b,16,8.47 Earths,4.43,2018
HD 27442 b,60,1.56 Jupiters,4.44,2000
HD 27631 b,164,1.494 Jupiters,8.243,2012
HD 27894 b,143,0.665 Jupiters,9.349,2005
HD 27894 c,143,0.162 Jupiters,9.349,2017
HD 27894 d,143,5.415 Jupiters,9.349,2017
HD 28185 b,129,5.9 Jupiters,7.81,2001
HD 28254 b,178,1.16 Jupiters,7.684,2010
HD 285507 b,147,0.98 Jupiters,10.267,2013
HD 285968 b,31,8.4 Earths,10.038,2008
HD 28678 b,623,1.542 Jupiters,8.38,2011
HD 29021 b,101,2.4 Jupiters,7.76,2017
HD 290327 b,184,2.43 Jupiters,8.99,2009
HD 2952 b,360,1.37 Jupiters,5.922,2013
HD 30177 b,182,8.622 Jupiters,8.397,2002
HD 30177 c,182,7.6 Jupiters,8.397,2016
HD 30562 b,85,1.22 Jupiters,5.78,2009
HD 30669 b,186,0.47 Jupiters,9.11,2014
HD 30856 b,430,1.547 Jupiters,7.91,2011
HD 31253 b,190,0.62 Jupiters,7.133,2010
HD 31527 b,126,10.47 Earths,7.49,2019
HD 31527 c,126,14.16 Earths,7.49,2019
HD 31527 d,126,11.82 Earths,7.49,2019
HD 3167 b,154,5.02 Earths,8.94,2016
HD 3167 c,154,9.8 Earths,8.94,2016
HD 3167 d,154,6.9 Earths,8.94,2017
HD 32518 b,400,3.04 Jupiters,6.421,2009
HD 32963 b,124,0.7 Jupiters,7.6,2015
HD 330075 b,148,0.48 Jupiters,9.334,2004
HD 33142 b,397,1.385 Jupiters,7.96,2011
HD 33142 c,397,5.97 Jupiters,7.96,2018
HD 332231 b,264,0.244 Jupiters,8.56,2020
HD 31527 d,126,11.82 Earths,7.49,2019
HD 3167 b,154,5.02 Earths,8.94,2016
HD 3167 c,154,9.8 Earths,8.94,2016
HD 3167 d,154,6.9 Earths,8.94,2017
HD 32518 b,400,3.04 Jupiters,6.421,2009
HD 32963 b,124,0.7 Jupiters,7.6,2015
HD 330075 b,148,0.48 Jupiters,9.334,2004
HD 33142 b,397,1.385 Jupiters,7.96,2011
HD 33142 c,397,5.97 Jupiters,7.96,2018
HD 332231 b,264,0.244 Jupiters,8.56,2020
HD 35759 b,236,3.76 Jupiters,7.74,2016
HD 3651 b,36,0.228 Jupiters,5.86,2003
HD 37124 b,103,0.675 Jupiters,7.7,2002
HD 37124 c,103,0.652 Jupiters,7.7,2002
HD 37124 d,103,0.696 Jupiters,7.7,2005
HD 37605 b,153,2.69 Jupiters,8.67,2004
HD 37605 c,153,3.19 Jupiters,8.67,2012
HD 38283 b,124,0.4 Jupiters,6.696,2010
HD 38529 b,138,0.797 Jupiters,5.95,2000
HD 38529 c,138,12.99 Jupiters,5.95,2000
HD 38801 b,299,9.698 Jupiters,8.224,2009
HD 39091 b,60,12.9 Jupiters,5.67,2001
HD 39855 b,76,8.5 Earths,7.47,2019
HD 40307 b,42,4 Earths,7.17,2009
HD 40307 c,42,6.6 Earths,7.17,2009
HD 40307 d,42,9.5 Earths,7.17,2009
HD 40307 f,42,5.2 Earths,7.17,2013
HD 40307 g,42,7.1 Earths,7.17,2013
HD 40956 b,382,2.7 Jupiters,6.423,2017
HD 40979 b,111,4.67 Jupiters,6.735,2002
HD 41004 A b,140,2.54 Jupiters,8.65,2004
HD 41004 B b,140,18.37 Jupiters,,2003
HD 4113 b,137,1.56 Jupiters,7.881,2007
HD 42012 b,120,1.6 Jupiters,8.44,2017
HD 4203 b,266,2.23 Jupiters,8.687,2001
HD 4203 c,266,2.17 Jupiters,8.687,2014
HD 4208 b,112,0.81 Jupiters,7.795,2001
HD 42618 b,79,14.4 Earths,6.839,2016
HD 4308 b,72,15.8915 Earths,6.56,2005
HD 4313 b,446,1.927 Jupiters,7.83,2009
HD 43197 b,184,0.6 Jupiters,8.98,2010
HD 43691 b,280,2.55 Jupiters,8.03,2007
HD 44219 b,164,0.58 Jupiters,7.69,2010
HD 45184 b,71,12.19 Earths,6.37,2019
HD 45184 c,71,8.81 Earths,6.37,2019
HD 45350 b,153,1.79 Jupiters,7.885,2004
HD 45364 b,112,0.1872 Jupiters,8.062,2008
HD 45364 c,112,0.6579 Jupiters,8.062,2008
HD 45652 b,114,0.433 Jupiters,8.1,2008
HD 46375 b,96,0.226 Jupiters,7.912,2000
HD 43197 b,184,0.6 Jupiters,8.98,2010
HD 43691 b,280,2.55 Jupiters,8.03,2007
HD 44219 b,164,0.58 Jupiters,7.69,2010
HD 45184 b,71,12.19 Earths,6.37,2019
HD 45184 c,71,8.81 Earths,6.37,2019
HD 45350 b,153,1.79 Jupiters,7.885,2004
HD 45364 b,112,0.1872 Jupiters,8.062,2008
HD 45364 c,112,0.6579 Jupiters,8.062,2008
HD 45652 b,114,0.433 Jupiters,8.1,2008
HD 46375 b,96,0.226 Jupiters,7.912,2000
HD 50499 b,151,1.636 Jupiters,7.207,2005
HD 50499 c,151,2.93 Jupiters,7.207,2019
HD 50554 b,102,4.954 Jupiters,6.84,2002
HD 51608 b,114,12.77 Earths,8.17,2019
HD 51608 c,114,14.31 Earths,8.17,2019
HD 52265 b,98,1.21 Jupiters,6.3,2000
HD 5319 b,397,1.556 Jupiters,8.05,2007
HD 5319 c,397,1.053 Jupiters,8.05,2014
HD 55696 b,255,3.87 Jupiters,7.95,2018
HD 5583 b,721,5.78 Jupiters,7.6,2016
HD 5608 b,190,1.681 Jupiters,5.99,2012
HD 564 b,175,0.33 Jupiters,8.29,2014
HD 5891 b,932,7.63 Jupiters,8.25,2011
HD 59686 A b,316,6.92 Jupiters,5.442,2016
HD 60532 b,85,1.06 Jupiters,4.44,2008
HD 60532 c,85,2.51 Jupiters,4.44,2008
HD 62509 b,34,2.3 Jupiters,1.14,2006
HD 63433 b,73,5.27 Earths,6.9,2020
HD 63433 c,73,7.61 Earths,6.9,2020
HD 63454 b,123,0.25 Jupiters,9.37,2005
HD 63765 b,106,0.53 Jupiters,8.1,2009
HD 64114 b,103,17.8 Earths,7.718,2019
HD 6434 b,138,0.49 Jupiters,7.71,2003
HD 65216 b,115,1.295 Jupiters,7.964,2003
HD 65216 c,115,2.03 Jupiters,7.964,2013
HD 66141 b,222,6 Jupiters,4.38,2012
HD 66428 b,174,3.204 Jupiters,8.246,2005
HD 67087 b,250,3.06 Jupiters,8.05,2015
HD 67087 c,250,4.85 Jupiters,8.05,2015
HD 6718 b,168,1.68 Jupiters,8.45,2009
HD 68402 b,256,3.07 Jupiters,9.11,2016
HD 68988 b,199,1.97 Jupiters,8.2,2001
HD 69830 b,41,10.2 Earths,6,2006
HD 69830 c,41,11.8 Earths,6,2006
HD 69830 d,41,18.1 Earths,6,2006
HD 70573 b,149,6.1 Jupiters,11.424,2007
HD 70642 b,96,1.993 Jupiters,7.169,2003
HD 7199 b,118,0.27 Jupiters,8.027,2011
HD 72490 b,414,1.768 Jupiters,7.82,2018
HD 72659 b,170,3.85 Jupiters,7.46,2002
HD 72892 b,228,5.45 Jupiters,8.83,2016
HD 73267 b,179,3.097 Jupiters,8.889,2008
HD 73526 b,318,3.08 Jupiters,8.971,2002
HD 73526 c,318,2.25 Jupiters,8.971,2005
HD 73534 b,272,1.112 Jupiters,8.23,2008
HD 74156 b,211,1.8 Jupiters,7.614,2003
HD 74156 c,211,8.06 Jupiters,7.614,2003
HD 7449 b,126,0.508 Jupiters,7.483,2011
HD 75289 b,95,0.49 Jupiters,6.35,1999
HD 75784 b,279,1 Jupiter,7.84,2014
HD 75784 c,279,5.64 Jupiters,7.84,2018
HD 75898 b,255,2.71 Jupiters,8.03,2007
HD 76700 b,199,0.21 Jupiters,8.155,2002
HD 76920 b,603,3.93 Jupiters,7.817,2017
HD 77338 b,150,15.9 Earths,8.591,2012
HD 7924 b,55,6.3566 Earths,7.185,2008
HD 7924 c,55,7.86 Earths,7.185,2015
HD 7924 d,55,6.44 Earths,7.185,2015
HD 79498 b,160,1.34 Jupiters,8.05,2011
HD 80606 b,217,4.38 Jupiters,9.001,2001
HD 80653 b,358,5.6 Earths,9.452,2020
HD 81040 b,112,7.27 Jupiters,7.72,2005
HD 81688 b,280,2.7 Jupiters,5.393,2007
HD 81817 b,877,27.1 Jupiters,4.3,2020
HD 82886 b,416,2.33 Jupiters,7.78,2011
HD 82943 b,90,1.681 Jupiters,6.53,2003
HD 82943 c,90,1.959 Jupiters,6.53,2003
HD 8326 b,100,0.20955 Jupiters,8.76,2019
HD 83443 b,134,0.34 Jupiters,8.222,2002
HD 8535 b,171,0.68 Jupiters,7.7,2010
HD 85390 b,109,31.46517 Earths,8.526,2009
HD 85512 b,37,3.1783 Earths,7.67,2011
HD 8574 b,146,2.03 Jupiters,7.112,2002
HD 86081 b,340,1.48 Jupiters,8.73,2006
HD 86226 b,149,0.45 Jupiters,7.932,2009
HD 86226 c,149,7.25 Earths,7.932,2020
HD 86264 b,222,7 Jupiters,7.407,2009
HD 8673 b,124,14.2 Jupiters,6.31,2009
HD 86950 b,689,3.6 Jupiters,7.459,2016
HD 87646 b,441,12.4 Jupiters,8,2016
HD 87883 b,60,1.54 Jupiters,7.55,2009
HD 88133 b,241,1.02 Jupiters,8.01,2004
HD 89307 b,105,2.11 Jupiters,7.009,2009
HD 89345 b,433,34.9613 Earths,9.376,2018
HD 89744 b,126,8.35 Jupiters,5.72,1999
HD 90156 b,72,17.98 Earths,6.92,2009
HD 9174 b,266,1.11 Jupiters,8.4,2016
HD 92788 b,113,3.76 Jupiters,7.31,2000
HD 92788 c,113,3.67 Jupiters,7.31,2019
HD 92987 b,142,16.88 Jupiters,7.03,2019
HD 93083 b,93,0.37 Jupiters,8.3,2005
HD 9446 b,164,0.7 Jupiters,8.369,2009
HD 9446 c,164,1.82 Jupiters,8.369,2009
HD 94834 b,321,1.26 Jupiters,7.6,2018
HD 95086 b,282,5 Jupiters,7.36,2013
HD 95089 b,448,1.26 Jupiters,7.92,2009
HD 95089 c,448,3.45 Jupiters,7.92,2018
HD 95127 b,2250,10.63 Jupiters,8.15,2015
HD 95338 b,121,0.13353 Jupiters,8.611,2020
HD 95872 b,236,3.74 Jupiters,9.895,2015
HD 96063 b,459,1.27 Jupiters,8.21,2011
HD 96127 b,1949,20.96 Jupiters,7.43,2011
HD 96167 b,279,0.717 Jupiters,8.09,2009
HD 97048 b,603,2.5 Jupiters,8.447,2019
HD 97658 b,70,9.5349 Earths,7.71,2010
HD 98219 b,372,1.964 Jupiters,8.05,2011
HD 98649 b,138,6.79 Jupiters,8,2012
HD 98736 b,106,2.33 Jupiters,7.93,2018
HD 99109 b,179,0.44 Jupiters,9.1,2005
HD 99492 b,59,22.2481 Earths,7.58,2004
HD 99706 b,480,1.23 Jupiters,7.65,2011
HD 99706 c,480,5.69 Jupiters,7.65,2018
HIP 105854 b,257,8.2 Jupiters,5.64,2014
HIP 107772 b,77,12.9 Earths,10.54,2020
HIP 107773 b,338,1.98 Jupiters,5.62,2015
HIP 109384 b,183,1.56 Jupiters,9.63,2016
HIP 109600 b,191,2.68 Jupiters,9.16,2016
HIP 116454 b,204,12.7132 Earths,10.19,2014
HIP 12961 b,76,0.36 Jupiters,10.24,2010
HIP 14810 b,165,3.9 Jupiters,8.52,2005
HIP 14810 c,165,1.31 Jupiters,8.52,2006
HIP 14810 d,165,0.59 Jupiters,8.52,2009
HIP 35173 b,108,12.7 Earths,9.01,2019
HIP 38594 b,58,8.1 Earths,9.77,2020
HIP 38594 c,58,0.15228 Jupiters,9.77,2020
HIP 41378 b,348,8.75 Earths,8.93,2016
HIP 41378 c,348,7.08 Earths,8.93,2016
HIP 41378 d,348,14.9 Earths,8.93,2016
HIP 41378 e,348,26 Earths,8.93,2016
HIP 41378 f,348,0.233 Jupiters,8.93,2016
HIP 4845 b,69,14.4 Earths,9.99,2020
HIP 48714 b,34,22.9 Earths,8.97,2020
HIP 5158 b,169,1.42 Jupiters,10.167,2009
HIP 5158 c,169,15.04 Jupiters,10.167,2011
HIP 54373 b,61,8.62 Earths,10.38,2019
HIP 54373 c,61,12.44 Earths,10.38,2019
HIP 57274 b,84,6.3566 Earths,8.98,2011
HIP 57274 c,84,0.40902 Jupiters,8.98,2011
HIP 57274 d,84,0.5267 Jupiters,8.98,2011
HIP 63242 b,513,9.18 Jupiters,6.871,2013
HIP 65407 b,181,0.428 Jupiters,9.42,2016
HIP 65407 c,181,0.784 Jupiters,9.42,2016
HIP 65426 b,363,9 Jupiters,6.982,2017
HIP 65891 b,444,6 Jupiters,6.75,2015
HIP 65 A b,202,3.213 Jupiters,11.13,2020
HIP 67522 b,415,0.228 Jupiters,9.802,2020
HIP 67537 b,367,11.1 Jupiters,6.44,2017
HIP 67851 b,215,1.38 Jupiters,6.17,2015
HIP 67851 c,215,6.3 Jupiters,6.17,2015
HIP 70849 b,79,9 Jupiters,10.36,2009
HIP 71135 b,106,18.8 Earths,10.542,2019
HIP 74890 b,298,2.4 Jupiters,7.05,2016
HIP 78530 b,511,23 Jupiters,7.192,2010
HIP 79098 AB b,477,20.5 Jupiters,5.86,2019
HIP 79431 b,47,2.1 Jupiters,11.34,2009
HIP 8541 b,550,5.5 Jupiters,7.88,2016
HIP 91258 b,150,1.09 Jupiters,8.646,2013
HIP 97233 b,335,20 Jupiters,7.34,2014
HN Pegasi b,59,21.9987 Jupiters,5.95,2006
HR 2562 b,111,30 Jupiters,6.11,2016
HR 5183 b,103,3.23 Jupiters,6.3,2019
HR 810 b,57,2.27 Jupiters,5.41,1999
HR 858 b,104,5 Earths,6.4,2019
HR 858 c,104,4.42 Earths,6.4,2019
HR 858 d,104,5.32 Earths,6.4,2019
HR 8799 b,129,7 Jupiters,5.953,2008
HR 8799 c,129,10 Jupiters,5.953,2008
HR 8799 d,129,10 Jupiters,5.953,2008
HR 8799 e,129,10 Jupiters,5.953,2010
HU Aquarii AB b,627,5.9 Jupiters,16.472,2011
HU Aquarii AB c,627,4.5 Jupiters,16.472,2011
HW Virginis b,590,14.48228 Jupiters,10.692,2012
IC 4651 9122 b,2869,6.3 Jupiters,10.534,2018
Iota Draconis b,103,8.82 Jupiters,3.29,2002
K2-100 b,620,12.6 Earths,10.651,2016
K2-101 b,618,4.66 Earths,12.957,2016
K2-102 b,617,2.24 Earths,13.2,2016
